Date,Deposit rate
8/2/2019,0.75
8/5/2019,0.75
8/6/2019,0.75
8/7/2019,0.78
8/8/2019,0.78
8/9/2019,0.78
8/12/2019,0.78
8/13/2019,0.78
8/14/2019,0.78
8/15/2019,0.78
8/16/2019,0.78
8/19/2019,0.78
8/20/2019,0.78
8/21/2019,0.78
8/22/2019,0.78
8/23/2019,0.78
8/26/2019,0.78
8/27/2019,0.78
8/28/2019,0.78
8/29/2019,0.78
8/30/2019,0.78
9/2/2019,0.78
9/3/2019,0.78
9/4/2019,0.78
9/5/2019,0.78
9/6/2019,0.78
9/9/2019,0.78
9/10/2019,0.78
9/11/2019,0.78
9/12/2019,0.78
9/13/2019,0.78
9/16/2019,0.78
9/17/2019,0.78
9/18/2019,0.78
9/19/2019,0.78
9/20/2019,0.78
9/23/2019,0.78
9/24/2019,0.78
9/25/2019,0.78
9/26/2019,0.78
9/27/2019,0.78
9/30/2019,0.78
10/1/2019,0.78
10/2/2019,0.78
10/3/2019,0.78
10/4/2019,0.78
10/7/2019,0.78
10/8/2019,0.78
10/9/2019,0.78
10/10/2019,0.78
10/11/2019,0.78
10/14/2019,0.78
10/15/2019,0.78
10/16/2019,0.78
10/17/2019,0.78
10/18/2019,0.78
10/21/2019,0.78
10/22/2019,0.78
10/23/2019,0.78
10/24/2019,0.78
10/25/2019,0.78
10/28/2019,0.78
10/29/2019,0.78
10/30/2019,0.78
10/31/2019,0.78
11/1/2019,0.78
11/4/2019,0.78
11/5/2019,0.78
11/6/2019,0.78
11/7/2019,0.78
